Código,Cód. Pai,nome,JME1
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,X
386,385,Execução da Pena,X
11399,385,Execução de Medida de Segurança,X
12729,385,Execução de Medidas Alternativas no Juízo Comum,X
12727,385,Execução de Pena de Multa,X
1714,385,Execução Provisória,X
406,385,Incidentes,X
409,406,Anistia,X
411,406,Comutação de Pena,X
407,406,Conversão de Pena,X
408,406,Excesso ou Desvio,X
410,406,Indulto,X
12128,406,Livramento Condicional,X
12129,406,Outros Incidentes de Execução Iniciados de Ofício,X
12125,406,Progressão de Regime,X
12126,406,Regressão de Regime,X
12127,406,Remição,X
12123,406,Roteiro de Pena,X
1283,406,Superveniência de doença mental,X
1288,406,Transferência entre estabelecimentos penais,X
1284,406,Unificação de penas,X
12728,385,Transferência Entre Estabelecimentos Penais,X
1198,,PROCEDIMENTOS ADMINISTRATIVOS ,X
1680,1198,Consulta Administrativa,X
88,1198,Correição Parcial ou Reclamação Correicional,X
12248,1198,Pedido de Cooperação Judiciária,X
1199,1198,Pedido de Providências,X
1298,1198,Processo Administrativo,X
1262,1198,Processo Administrativo Disciplinar em face de Servidor,X
1301,1198,Reclamação Disciplinar,X
1308,1198,Sindicância,X
11099,,PROCEDIMENTOS PRÉ-PROCESSUAIS DE RESOLUÇÃO CONSENSUAL DE CONFLITOS ,X
12136,11099,Pedido de Mediação Pré-Processual,X
2,,PROCESSO CÍVEL E DO TRABALHO ,X
214,2,Outros Procedimentos,X
237,214,Atos e expedientes,X
12139,237,Contestação em Foro Diverso,X
240,237,Instrução de Rescisória,X
1701,237,Nomeação de Advogado,X
241,237,Petição Cível,X
257,214,Cartas,X
258,257,Carta de Ordem Cível,X
261,257,Carta Precatória Cível,X
264,257,Carta Rogatória Cível,X
215,214,Incidentes,X
218,215,Assistência Judiciária,X
224,215,Exceções,X
1230,224,Exceção de Impedimento,X
1232,224,Exceção de Incompetência,X
1231,224,Exceção de Suspeição,X
228,215,Exibição de Documento ou Coisa Cível,X
230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,X
231,215,Impugnação ao Valor da Causa Cível,X
1702,215,Impugnação de Assistência Judiciária,X
232,215,Incidente de Falsidade,X
12080,215,Incidente de Impedimento Cível,X
12081,215,Incidente de Suspeição Cível,X
175,2,Processo Cautelar,X
178,175,Arresto ,X
181,175,Busca e Apreensão,X
183,175,Cautelar Inominada,X
1723,175,Contraprotesto Judicial,X
186,175,Exibição,X
1726,175,Interpelação,X
190,175,Justificação,X
1725,175,Notificação,X
193,175,Produção Antecipada da Prova,X
191,175,Protesto,X
196,175,Seqüestro,X
1106,2,Processo de Conhecimento,X
1107,1106,Procedimento de Conhecimento,X
7,1107,Procedimento Comum Cível,X
22,1107,Procedimento Sumário,X
26,1107,Procedimentos Especiais,X
27,26,Procedimentos Especiais de Jurisdição Contenciosa,X
32,27,Consignação em Pagamento,X
37,27,Embargos de Terceiro Cível,X
38,27,Habilitação,X
46,27,Restauração de Autos Cível,X
50,26,Procedimentos Especiais de Jurisdição Voluntária,X
52,50,Alienação Judicial de Bens,X
12227,50,Interpelação,X
12226,50,Notificação,X
12228,50,Protesto,X
62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos",X
64,62,Ação Civil de Improbidade Administrativa,X
1269,62,Habeas Corpus Cível,X
110,62,Habeas Data Cível,X
120,62,Mandado de Segurança Cível,X
155,1106,Procedimento de Cumprimento de Sentença/Decisão,X
156,155,Cumprimento de sentença,X
10980,155,Cumprimento Provisório de Decisão,X
157,155,Cumprimento Provisório de Sentença,X
10981,155,Impugnação ao Cumprimento de Decisão,X
229,155,Impugnação ao Cumprimento de Sentença,X
150,1106,Procedimento de Liquidação,X
152,150,Liquidação de Sentença pelo Procedimento Comum,X
151,150,Liquidação por Arbitramento,X
154,150,Liquidação Provisória de Sentença pelo Procedimento Comum,X
153,150,Liquidação Provisória por Arbitramento,X
158,2,Processo de Execução,X
169,158,Embargos,X
172,169,Embargos à Execução,X
1111,158,Execução de Título Judicial,X
1114,1111,Execução Contra a Fazenda Pública,X
197,2,Recursos,X
207,197,Embargos,X
1689,207,Embargos de Declaração Cível,X
12133,2,Tutela Provisória de Urgência e Tutela Provisória de Evidência,X
12135,12133,Tutela Antecipada Antecedente,X
12134,12133,Tutela Cautelar Antecedente,X
268,,PROCESSO CRIMINAL ,X
334,268,Cartas,X
335,334,Carta de Ordem Criminal,X
355,334,Carta Precatória Criminal,X
308,268,Medidas Cautelares,X
11955,308,Cautelar Inominada Criminal,X
311,308,Medidas Investigatórias Sobre Organizações Criminosas,X
1268,308,Medidas Protetivas de Urgência (Lei Maria da Penha) - Criminal,X
309,308,Pedido de Busca e Apreensão Criminal,X
312,308,Pedido de Prisão,X
313,312,Pedido de Prisão Preventiva,X
314,312,Pedido de Prisão Temporária,X
310,308,Pedido de Quebra de Sigilo de Dados e/ou Telefônico,X
11793,308,Produção Antecipada de Provas Criminal,X
303,268,Medidas Garantidoras,X
307,303,Habeas Corpus Criminal,X
304,303,Liberdade,X
305,304,Liberdade Provisória com ou sem fiança,X
306,304,Relaxamento de Prisão,X
269,268,Medidas Preparatórias,X
274,269,Interpelações,X
275,274,Notificação para Explicações,X
1727,268,Petição Criminal,X
277,268,Procedimentos Investigatórios,X
280,277,Auto de Prisão em Flagrante,X
12121,277,Comunicado de Mandado de Prisão,X
279,277,Inquérito Policial,X
1733,277,Procedimento Investigatório Criminal (PIC-MP) ,X
271,277,Representação Criminal,X
272,271,Representação Criminal/Notícia de Crime,X
278,277,Termo Circunstanciado,X
284,268,Processo Especial,X
292,284,Processo Especial de Leis Esparsas,X
14701,292,Habeas Data Criminal,X
1710,292,Mandado de Segurança Criminal,X
285,284,Processo Especial do Código de Processo Penal,X
291,285,Restauração de Autos Criminal,X
316,268,Questões e Processos Incidentes,X
1717,316,Alienação de Bens do Acusado,X
14123,316,Destinação de Bens Apreendidos,X
327,316,Embargos de Terceiro Criminal,X
1715,316,Embargos do Acusado,X
317,316,Exceções,X
324,317,Exceção da Verdade,X
322,317,Exceção de Coisa Julgada,X
323,317,Exceção de Impedimento,X
319,317,Exceção de Incompetência de Juízo,X
320,317,Exceção de Litispendência,X
318,317,Exceção de Suspeição,X
331,316,Incidentes,X
14678,331,Acordo de Não Persecução Penal,X
11787,331,Assistência Judiciária,X
11788,331,Exibição de Documento ou Coisa Criminal,X
11789,331,Impugnação ao Valor da Causa,X
11790,331,Impugnação de Assistência Judiciária,X
332,331,Incidente de Falsidade,X
333,331,Insanidade Mental do Acusado,X
1291,331,Reabilitação,X
328,316,Medidas Assecuratórias,X
330,328,Arresto / Hipoteca Legal,X
329,328,Seqüestro,X
326,316,Restituição de Coisas Apreendidas,X
412,268,Recursos,X
413,412,Agravo de Execução Penal,X
418,412,Carta Testemunhável,X
420,412,Embargos de Declaração Criminal,X
426,412,Recurso em Sentido Estrito,X
11028,,PROCESSO MILITAR ,X
11030,11028,PROCESSO CRIMINAL,X
11037,11030,Ação Penal Militar - Procedimento Ordinário,X
11031,11030,Procedimento Especial,X
11043,11031,Deserção,X
11045,11043,Deserção de Oficial,X
11046,11043,Deserção de Praça,X
11553,11043,Instrução Provisória de Deserção,X
11032,11030,Procedimentos Investigatórios,X
11041,11032,Inquérito Policial Militar,X
11800,11032,Instrução Provisória de Deserção,X
11799,11032,Instrução Provisória de Insubmissão,X
15423,11028,Revisão Judicial - Conselho de Justificação,X
