Código,Cód. Pai,nome,JT2G
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
15162,3,Acolhimento de Embargos de Declaração,X
133,3,Acolhimento de exceção,X
335,133,de pré-executividade,X
940,133,Impedimento ou Suspeição,X
371,133,Incompetência,X
15163,3,Acolhimento em Parte de Embargos de Declaração,X
15366,3,Acolhimento em Parte de Exceção de Pré-Executividade,X
206,3,Admissão,X
12096,206,Incidente de assunção de competência,X
12094,206,Incidente de Resolução de demandas repetitivas (art. 981 e 982),X
12428,206,Reclamação,X
431,206,Recurso de revista,X
83,3,Cancelamento da distribuição,X
817,3,Concessão,X
787,817,Gratuidade da Justiça,X
339,817,Liminar,X
12308,817,Substituição/Sucessão da Parte,X
332,817,Tutela Provisória,X
888,3,Concessão em parte,X
892,888,Liminar,X
889,888,Tutela Provisória,X
7,3,Conversão,X
266,7,Julgamento em Diligência,X
12387,3,Decisão de Saneamento e Organização,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
269,11,Impedimento ou Suspeição,X
941,11,Incompetência,X
12151,11,Suspeição,X
113,3,Decretação de Prisão Civil,X
355,113,Depositário infiel,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
1013,3,Determinação,X
11382,1013,Bloqueio/penhora on line,X
15085,1013,Emenda à Inicial,X
12457,1013,Expedição de precatório/rpv,X
12040,1013,Indisponibilidade de bens,X
12037,1013,Quebra de sigilo fiscal,X
12255,1013,Redistribuição por prevenção,X
12765,3,Envio para Juízo de Retratação ,X
12766,12765,Por Divergência de Entendimento com o STF,X
12767,12765,Por Divergência de Entendimento com STJ,X
15418,12765,Por Divergência de Entendimento com TST,X
378,3,Homologação,X
377,378,Acordo em execução ou em cumprimento de sentença,X
944,378,Desistência de Recurso,X
15244,3,Homologação de Acordo Parcial em Execução ou em Cumprimento de Sentença,X
14776,3,Homologação em Parte,X
12455,3,Indeferimento,X
12067,3,Levantamento da Suspensão ou Dessobrestamento,X
12768,3,Manutenção de Acórdão,X
15164,3,Não Acolhimento de Embargos de Declaração,X
15409,3,Não Conhecimento de Embargos de Declaração,X
207,3,Não-Admissão,X
12097,207,Incidente de assunção de competência ,X
12095,207,Incidente de resolução de demandas repetitivas,X
434,207,Recurso de Revista,X
968,3,Não-Concessão,X
334,968,Gratuidade da Justiça,X
792,968,Liminar,X
785,968,Tutela Provisória,X
12477,3,Não-Homologação,X
163,3,Não-Recebimento,X
804,163,Recurso,X
12300,3,Nomeação,X
12301,12300,Advogado Voluntário,X
12302,12300,Curador,X
12304,12300,Intérprete/Tradutor,X
12305,12300,Outros auxiliares de justiça,X
12306,12300,Perito,X
63,3,Ordenação de entrega de autos,X
12164,3,Outras Decisões,X
15223,3,Prejudicado o Pedido,X
160,3,Recebimento,X
1060,160,Recurso,X
394,1060,Com efeito suspensivo,X
1059,1060,Sem efeito suspensivo,X
12318,3,Reconhecimento de prevenção,X
138,3,Rejeição,X
373,138,Exceção de Impedimento ou Suspeição,X
374,138,Exceção de incompetência,X
788,138,Exceção de pré-executividade,X
56,3,Requisição de informações,X
157,3,Revogação,X
945,157,Decisão anterior,X
348,157,Liminar,X
128,157,Prisão,X
347,157,Tutela Provisória,X
961,3,Suscitação de Conflito de Competência,X
25,3,Suspensão ou Sobrestamento,X
272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",X
15413,25,Ação Coletiva,X
960,25,Conflito de Competência,X
270,25,Convenção das Partes,X
277,25,Convenção das Partes para Satisfação Voluntária da Obrigação em Execução ou Cumprimento de Sentença,X
271,25,"Exceção de Incompetência, suspeição ou Impedimento",X
276,25,Execução frustrada,X
275,25,Força maior,X
12098,25,Incidente de Resolução de Demandas Repetitivas ,X
15415,25,Incidente de Resolução de Demandas Repetitivas do TST,X
268,25,Morte ou perda da capacidade,X
14971,25,Por Ação de Controle Concentrado de Constitucionalidade,X
14970,25,Por Controvérsia,X
12100,25,Por decisão do Presidente do STF - SIRDR,X
12099,25,Por decisão do Presidente do STJ - SIRDR,X
14972,25,Por Decisão do Presidente do TST - SIRDR,X
898,25,Por decisão judicial,X
15247,25,Por Expedição de Precatório,X
15248,25,Por Expedição de RPV,X
14969,25,Por Grupo de Representativos,X
14968,25,Por Incidente de Assunção de Competência - IAC,X
14973,25,Por Recurso de Revista Repetitivo,X
12259,25,"Prescrição intercorrente (art. 921, § 4º, CPC)",X
11975,25,Recurso Especial repetitivo,X
265,25,Recurso Extraordinário com repercussão geral,X
11009,1,Despacho,X
11023,11009,Concessão,X
11024,11023,Assistência Judiciária Gratuita,X
11021,11009,Conversão,X
11022,11021,Julgamento em Diligência,X
15216,11009,Determinação de Citação,X
12548,11009,Expedição de alvará de levantamento,X
15225,11009,Indicação de Recurso como Representativo de Controvérsia,X
12068,11009,Levantamento da Suspensão ou Dessobrestamento,X
11010,11009,Mero expediente,X
11019,11009,Ordenação de entrega de autos,X
12310,11009,Pauta,X
12311,12310,Pedido de inclusão,X
12313,12310,Pedido de Inclusão em Pauta de Sessão Virtual,X
12314,12310,Pedido de Retirada de Pauta de Sessão Virtual,X
12312,12310,Retirar pedido de inclusão,X
11020,11009,Requisição de Informações,X
11025,11009,Suspensão ou Sobrestamento,X
11012,11025,Conflito de Competência,X
11013,11025,Convenção das Partes,X
11014,11025,Convenção das Partes para Cumprimento Voluntário da obrigação,X
11015,11025,"Exceção de Incompetência, suspeição ou Impedimento",X
15238,11025,Homologação de Acordo ou Transação,X
15009,11025,Por Impedimento ou Suspeição,X
193,1,Julgamento,X
385,193,Com Resolução do Mérito,X
198,385,Acolhimento de Embargos de Declaração,X
871,385,Acolhimento em parte de Embargos de Declaração,X
210,385,Concessão,X
443,210,Habeas corpus,X
12475,210,Habeas Corpus de ofício,X
444,210,Habeas data,X
442,210,Segurança,X
214,385,Concessão em Parte,X
451,214,Habeas corpus,X
452,214,Habeas data,X
450,214,Segurança,X
242,385,Conhecimento em Parte e Não-Provimento ou Denegação,X
241,385,Conhecimento em Parte e Provimento em Parte ou Concessão em Parte,X
240,385,Conhecimento em Parte e Provimento ou Concessão,X
11796,385,Declaração de competência em conflito,X
12257,385,Definição de tese jurídica em incidentes repetitivos,X
212,385,Denegação,X
447,212,Habeas corpus,X
448,212,Habeas data,X
446,212,Segurança,X
12258,385,Emissão de juízo de retratação pelo Órgão Julgador,X
196,385,Extinção da execução ou do cumprimento da sentença,X
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X
466,385,Homologação de Transação,X
220,385,Improcedência,X
200,385,Não-Acolhimento de Embargos de Declaração,X
239,385,Não-Provimento,X
901,385,Negação de seguimento,X
219,385,Procedência,X
11795,385,Procedência do Pedido - Reconhecimento pelo réu,X
221,385,Procedência em Parte,X
471,385,Pronúncia de Decadência ou Prescrição,X
237,385,Provimento,X
972,385,Provimento (art. 557 do CPC),X
238,385,Provimento em Parte,X
455,385,Renúncia ao direito pelo autor,X
218,193,Sem Resolução de Mérito,X
11373,218,Anulação de sentença/acórdão,X
456,218,Extinção,X
458,456,Abandono da causa,X
464,456,Ação intransmissível,X
461,456,Ausência das condições da ação,X
459,456,Ausência de pressupostos processuais,X
465,456,Confusão entre autor e réu,X
12256,456,Continência,X
462,456,Convenção de arbitragem,X
463,456,Desistência,X
454,456,Indeferimento da petição inicial,X
457,456,Paralisação por negligência das partes,X
460,456,"Perempção, litispendência ou coisa julgada",X
12617,456,Renúncia,X
15408,218,Não Conhecimento de Embargos de Declaração,X
235,218,Não Conhecimento de recurso,X
12458,218,Não conhecimento do habeas corpus,X
236,218,Negação de Seguimento,X
230,218,Recurso prejudicado,X
14,,Serventuário ,X
865,14,Arquivista,X
870,865,Autos Eliminados,X
869,865,Entrega definitiva dos autos,X
866,865,Guarda Intermediária,X
867,865,Guarda Permanente,X
977,865,Recebimento,X
978,865,Remessa,X
12522,14,Auxiliar da Justiça,X
12523,12522,Conciliador,X
12528,12523,Conciliação,X
12531,12528,Frutífera,X
12532,12528,Infrutífera,X
12608,12528,Parcial,X
12525,12522,Mediador,X
12527,12525,Mediação,X
12540,12527,Frutífera,X
12539,12527,Infrutífera,X
12611,12527,Parcial,X
15,14,Contador,X
16,15,Cálculo,X
480,16,Atualização de conta,X
478,16,Cálculo de Liquidação,X
479,16,Custas,X
481,16,Tributos,X
979,15,Recebimento,X
980,15,Remessa,X
18,14,Distribuidor,X
22,18,Baixa Definitiva,X
488,18,Cancelamento de Distribuição,X
26,18,Distribuição,X
981,18,Recebimento,X
36,18,Redistribuição,X
982,18,Remessa,X
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,X
12102,48,"Adiamento do julgamento (CPC, art. 935)",X
135,48,Apensamento,X
861,48,Arquivamento,X
246,861,Definitivo,X
245,861,Provisório,X
12292,48,Ato cumprido pela parte ou interessado,X
12295,12292,Depósito de Bens/Dinheiro,X
11383,48,Ato ordinatório,X
970,48,Audiência,X
14096,970,Audiência Pública,X
12740,970,de Conciliação,X
12749,970,de Instrução,X
12750,970,de Instrução e Julgamento,X
12751,970,de Julgamento,X
12744,970,de Justificação,X
12752,970,de Mediação,X
12746,970,em Execução,X
12747,970,Inicial,X
12753,970,Preliminar,X
12260,48,Autos restaurados,X
12289,48,Cancelamento,X
15101,12289,Conclusão,X
12290,12289,Documento Expedido,X
12291,12289,Movimentação processual,X
12284,48,Citação,X
12286,12284,Eletrônica,X
12288,12286,Confirmada,X
12287,12286,Expedida/Certificada,X
15246,12286,Não Confirmada,X
12285,12284,Em Secretaria/Comparecimento Espontâneo,X
12281,48,Comunicação eletrônica,X
12283,12281,Confirmada,X
14961,12281,Erro ou Recusa na Comunicação,X
12282,12281,Expedida/Certificada,X
51,48,Conclusão,X
14732,48,Conversão de Autos Físicos em Eletrônicos,X
15186,48,Cooperação Judiciária,X
12066,48,Cumprimento de Levantamento da Suspensão ,X
12065,48,Cumprimento de Suspensão ou Sobrestamento,X
1051,48,Decurso de Prazo,X
873,48,Deliberação em Sessão,X
12198,48,Deliberado em Sessão,X
12203,12198,Adiado,X
12273,12198,Convertido em diligência,X
12272,12198,Declinada a competência,X
15021,12198,Destaque para Julgamento Presencial,X
12199,12198,Julgado,X
12201,12199,Liminar,X
12200,12199,Mérito,X
12202,12199,Questão de Ordem,X
12204,12198,Pedido de Vista,X
12275,12198,Retificado,X
12205,12198,Retirado,X
12274,12198,Sobrestado,X
137,48,Desapensamento,X
893,48,Desarquivamento,X
12269,48,Desentranhamento,X
12270,12269,Documento,X
12271,12269,Petição,X
11008,48,Desmembramento de Feitos,X
14091,48,Devolvidos os autos após Pedido de Vista,X
1061,48,Disponibilização no Diário da Justiça Eletrônico,X
12189,48,Entrega de Documento,X
493,48,Entrega em carga/vista,X
14739,48,Evolução da Classe Processual,X
14737,48,Exclusão do Juízo 100% Digital,X
11385,48,Execução/Cumprimento de Sentença Iniciada (o),X
60,48,Expedição de documento,X
12101,48,Inclusão do processo para julgamento eletrônico,X
417,48,Inclusão em pauta,X
14736,48,Inclusão no Juízo 100% Digital,X
12263,48,Intimação,X
12264,12263,Eletrônica,X
12266,12264,Confirmada,X
12265,12264,Expedida/certificada,X
12267,12263,Em audiência,X
12268,12263,Em Secretaria,X
67,48,Juntada,X
581,67,Documento,X
85,67,Petição,X
14974,48,Levantamento da Causa Suspensiva ou de Sobrestamento,X
15414,14974,Ação Coletiva,X
14982,14974,Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade - STF,X
14981,14974,Suspensão/Sobrestamento Determinada por Controvérsia,X
14977,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR,X
14978,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR,X
14983,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do TST - SIRDR,X
14980,14974,Suspensão/Sobrestamento Determinada por Grupo de Representativos,X
14979,14974,Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC,X
14984,14974,Suspensão/Sobrestamento Determinada por Recurso de Revista Repetitivo,X
14985,14974,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas,X
15416,14974,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas do TST,X
14976,14974,Suspensão/Sobrestamento por Recurso Especial Repetitivo,X
14975,14974,Suspensão/Sobrestamento por Recurso Extraordinário com Repercussão Geral,X
11384,48,Liquidação iniciada,X
15417,48,Migração de Sistema Eletrônico,X
12143,48,Mudança de Assunto Processual,X
12142,48,Mudança de Parte,X
12103,48,Pauta,X
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,X
12104,12103,Inclusão em pauta,X
12114,12104,Para análise da admissão do IAC,X
12111,12104,Para análise da admissão do IRDR,X
12115,12104,Para Julgamento,X
12105,12103,Inclusão em Pauta de Sessão Virtual,X
12113,12105,Para análise da admissão do IAC,X
12112,12105,Para análise da admissão do IRDR,X
12309,12103,Retirada,X
14901,48,Perícia,X
14904,14901,Agendada,X
14906,14901,Cancelada,X
14903,14901,Determinada/Designada,X
14908,14901,Não Realizada,X
14907,14901,Reagendada,X
14905,14901,Realizada,X
118,48,Protocolo de Petição,X
92,48,Publicação,X
12759,48,Realização de Procedimento Restaurativo,X
849,48,Reativação,X
132,48,Recebimento,X
12621,48,Recebimento no CEJUSC ou Centros de Conciliação/Mediação,X
123,48,Remessa,X
12618,48,Remessa CEJUSC,X
12614,48,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,X
928,48,Republicação,X
12165,48,Requisição de Pagamento,X
12173,12165,Pequeno Valor,X
12177,12173,Cancelada,X
12174,12173,Enviada ao Tribunal,X
12176,12173,Paga,X
12175,12173,Preparada para Envio,X
12178,12173,Retificada,X
12179,12173,Suspensão,X
12166,12165,Precatório,X
12170,12166,Cancelada,X
12167,12166,Enviada ao Tribunal,X
12169,12166,Paga,X
12168,12166,Preparada para Envio,X
12171,12166,Retificado,X
12172,12166,Suspensão,X
14738,48,Retificação de Classe Processual,X
897,48,Retirada de pauta,X
848,48,Trânsito em julgado,X
104,14,Oficial de Justiça,X
105,104,Devolução,X
106,105,Mandado,X
112,105,Ofício,X
115,104,Recebimento,X
985,115,Mandado,X
987,115,Ofício,X
