Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JMU1G
10620,287,CP,,2008-09-30 15:52:52,,,,Parte Geral,X
10621,10620,,,2008-09-30 15:52:52,,,,Aplicação da Pena,X
10633,10621,cp,59,2008-09-30 15:52:52,,,,Regime inicial,X
10628,10621,,,2008-09-30 15:52:52,,,,Substituição da Pena,X
10642,10620,CP,91 e 92,2008-09-30 15:52:52,,,,Efeitos da Condenação,X
10643,10642,cp,"92, I",2008-09-30 15:52:52,,,,Perda da Função Pública,X
10644,10642,cp,"45, § 3º",2008-09-30 15:52:52,,,,Perda de Bens e Valores,X
10613,10620,,,2008-09-30 15:52:52,,,,Excludentes,X
10617,10613,CP,24,2008-09-30 15:52:52,,,,Estado de Necessidade,X
10618,10613,CP,"23, III",2008-09-30 15:52:52,,,,Estrito Cumprimento do Dever Legal,X
10619,10613,CP,22,2008-09-30 15:52:52,,,,Inexigibilidade de Conduta Diversa,X
10616,10613,cp,25,2008-09-30 15:52:52,,,,Legítima Defesa,X
10622,10620,,,2008-09-30 15:52:52,,,,Extinção da Punibilidade,X
10625,10622,CF,"5º, XLIII",2008-09-30 15:52:52,,,,Anistia,X
10626,10622,Lei 7.210/1984,"66, II c/c 193",2008-09-30 15:52:52,,,,Indulto,X
10627,10622,8137/91; 9249/95,Art. 34,2008-09-30 15:52:52,,,,Pagamento ou Parcelamento do Crédito Tributário,X
10624,10622,CP,"107, IX",2008-09-30 15:52:52,,,,Perdão,X
10623,10622,CP,107,2008-09-30 15:52:52,,,,Prescrição,X
10634,10620,,,2008-09-30 15:52:52,,,,Suspensão condicional da pena,X
10612,10620,,,2008-09-30 15:52:52,,,,Tipicidade,X
10614,10612,,,2008-09-30 15:52:52,,,,Abolitio Criminis,X
10615,10612,,,2008-09-30 15:52:52,,,,Princípio da Insignificância,X
3388,287,,,2008-09-30 15:52:52,2021-05-28 14:01:47,,,Periclitação da Vida e da Saúde,X
3391,3388,CP,133,2008-09-30 15:52:52,,,,Abandono de incapaz,X
10509,3388,CP,134,2008-09-30 15:52:52,,,,Exposição ou Abandono de Recém Nascido,X
10508,3388,CP,136,2008-09-30 15:52:52,,,,Maus Tratos,X
3392,3388,CP,135,2008-09-30 15:52:52,,,,Omissão de socorro,X
3389,3388,CP,131,2008-09-30 15:52:52,,,,Perigo de contágio de moléstia grave,X
5911,3388,CP,130,2008-09-30 15:52:52,,,,Perigo de Contágio Venéreo,X
3390,3388,CP,132,2008-09-30 15:52:52,,,,Perigo para a vida ou saúde de outrem,X
3393,287,CP,137,2008-09-30 15:52:52,,,,Rixa,X
12217,287,Lei 13.260/2016,"2º, caput",2018-06-25 00:00:00,,,,Terrorismo,X
12218,12217,Lei 13.2060,2º,2018-06-25 00:00:00,,,,Atos de Terrorismo,X
12221,12217,Lei 13.260/2016,6º,2018-06-25 00:00:00,,,,Manutenção ou financiamento do terrorismo,X
12219,12217,Lei 13.260/2016,3º,2018-06-25 00:00:00,,,,Organização Terrorista,X
12220,12217,Lei 13.260/2016,5º,2018-06-25 00:00:00,,,,Preparação de ato terrorista,X
10949,287,11.340/2006,7º,2008-09-30 15:52:52,2020-12-04 17:07:53,,,Violência Doméstica Contra a Mulher,X
11068,,,,,,,,DIREITO PENAL MILITAR,X
11069,11068,CPM,"art. 33, inciso II",2009-08-26 00:00:00,,,,Crime Culposo,X
11070,11068,,,2009-08-26 00:00:00,,,,Crime em tempo de guerra,X
11071,11068,CPM,"30, inciso II",2009-08-26 00:00:00,,,,Crime Tentado,X
11072,11068,,,2009-08-26 00:00:00,,,,Crimes contra a Administração da Justiça Militar,X
11358,11072,CPM,345,2009-08-26 00:00:00,,,,Auto-acusação falsa,X
11359,11072,CPM,342,2009-08-26 00:00:00,,,,Coação,X
11360,11072,CPM,344,2009-08-26 00:00:00,,,,Comunicação falsa de crime,X
11361,11072,CPM,347,2009-08-26 00:00:00,,,,"Corrupção ativa de testemunha, perito ou intérprete",X
11362,11072,CPM,343,2009-08-26 00:00:00,,,,Denunciação caluniosa,X
11363,11072,CPM,341,2009-08-26 00:00:00,,,,Desacato,X
11364,11072,CPM,349,2009-08-26 00:00:00,,,,Desobediência a decisão judicial,X
11365,11072,CPM,354,2009-08-26 00:00:00,,,,Desobediência a decisão sobre perda ou suspensão de atividade ou direito,X
11366,11072,CPM,353,2009-08-26 00:00:00,,,,Exploração de prestígio,X
11367,11072,CPM,346,2009-08-26 00:00:00,,,,Falso testemunho ou falsa perícia,X
11368,11072,CPM,350,2009-08-26 00:00:00,,,,Favorecimento pessoal,X
11369,11072,CPM,351,2009-08-26 00:00:00,,,,Favorecimento real,X
11370,11072,CPM,352,2009-08-26 00:00:00,,,,"Inutilização,sonegação ou descaminho de material probante",X
11371,11072,CPM,348,2009-08-26 00:00:00,,,,Publicidade opressiva,X
11372,11072,CPM,340,2009-08-26 00:00:00,,,,Recusa de função na Justiça Militar,X
11073,11068,,,2009-08-26 00:00:00,,,,Crimes contra a Administração Militar,X
11308,11073,,,2009-08-26 00:00:00,,,,"Concussão, Excesso de Exação e Desvio",X
11355,11308,CPM,305,2009-08-26 00:00:00,,,,Concussão,X
11356,11308,CPM,307,2009-08-26 00:00:00,,,,Desvio,X
11357,11308,CPM,306,2009-08-26 00:00:00,,,,Excesso de exação,X
11309,11073,,,2009-08-26 00:00:00,,,,Corrupção,X
11352,11309,CPM,309,2009-08-26 00:00:00,,,,Corrupção ativa,X
11353,11309,CPM,308,2009-08-26 00:00:00,,,,Corrupção passiva,X
11354,11309,CPM,310,2009-08-26 00:00:00,,,,Participação ilícita,X
11310,11073,,,2009-08-26 00:00:00,,,,Crimes contra o dever funcional,X
11336,11310,CPM,330,2009-08-26 00:00:00,,,,Abandono de cargo,X
11337,11310,CPM,332,2009-08-26 00:00:00,,,,Abuso de confiança ou boa fé,X
11338,11310,CPM,331,2009-08-26 00:00:00,,,,Aplicação ilegal de verba ou dinheiro,X
11339,11310,CPM,322,2009-08-26 00:00:00,,,,Condescendência criminosa,X
11340,11310,CPM,329,2009-08-26 00:00:00,,,,Exercício funcional ilegal,X
11341,11310,CPM,321,2009-08-26 00:00:00,,,,"Extravio, sonegação ou inutilização de livro ou documento",X
11342,11310,CPM,324,2009-08-26 00:00:00,,,,"Inobservancia de lei, regulamento ou instrução",X
11343,11310,CPM,323,2009-08-26 00:00:00,,,,Não inclusão de nome em lista,X
11344,11310,CPM,328,2009-08-26 00:00:00,,,,"Obstáculo à hasta pública, concorrência ou tomada de preços",X
11345,11310,CPM,334,2009-08-26 00:00:00,,,,Patrocínio indébito,X
11346,11310,CPM,319,2009-08-26 00:00:00,,,,Prevaricação,X
11347,11310,CPM,327,2009-08-26 00:00:00,,,,Violação de sigilo de proposta de concorrência,X
11348,11310,CPM,326,2009-08-26 00:00:00,,,,Violação de sigilo funcional,X
11349,11310,CPM,320,2009-08-26 00:00:00,,,,Violação do dever funcional com o fim de lucro,X
11350,11310,CPM,325,2009-08-26 00:00:00,,,,Violação ou divulgação indevida de correspondência ou comunicação,X
11351,11310,CPM,333,2009-08-26 00:00:00,,,,Violência arbitrária,X
11311,11073,,,2009-08-26 00:00:00,,,,Crimes praticados por particular contra a Administração Militar,X
11331,11311,CPM,339,2009-08-26 00:00:00,,,,"Impedimento, perturbação ou fraude de concorrencia",X
11332,11311,CPM,338,2009-08-26 00:00:00,,,,Inutilização de edital ou de sinal oficial,X
11333,11311,CPM,337,2009-08-26 00:00:00,,,,"Subtração ou inutilização de livro, processo ou documento",X
11334,11311,CPM,336,2009-08-26 00:00:00,,,,Tráfico de influência,X
11335,11311,CPM,335,2009-08-26 00:00:00,,,,Usurpação de função,X
11312,11073,,,2009-08-26 00:00:00,,,,Desacato e da Desobediência,X
11326,11312,CPM,300,2009-08-26 00:00:00,,,,Desacato a assemelhado ou funcionário,X
11327,11312,CPM,299,2009-08-26 00:00:00,,,,Desacato a militar,X
11328,11312,CPM,298,2009-08-26 00:00:00,,,,Desacato a superior,X
11329,11312,CPM,301,2009-08-26 00:00:00,,,,Desobediência,X
11330,11312,CPM,302,2009-08-26 00:00:00,,,,Ingresso clandestino,X
11313,11073,,,2009-08-26 00:00:00,,,,Falsidade,X
11318,11313,CPM,314,2009-08-26 00:00:00,,,,Certidão ou atestado ideologicamente falso ,X
11319,11313,CPM,313,2009-08-26 00:00:00,,,,Cheques sem fundos,X
11320,11313,CPM,318,2009-08-26 00:00:00,,,,Falsa identidade,X
11321,11313,CPM,312,2009-08-26 00:00:00,,,,Falsidade ideológica,X
11322,11313,CPM,311,2009-08-26 00:00:00,,,,Falsificação de documento,X
11323,11313,CPM,316,2009-08-26 00:00:00,,,,Supressão de documento,X
11324,11313,CPM,315,2009-08-26 00:00:00,,,,Uso de documento falso,X
11325,11313,CPM,317,2009-08-26 00:00:00,,,,Uso de documento pessoal alheio,X
11314,11073,,,2009-08-26 00:00:00,,,,Peculato,X
11315,11314,CPM,303,2009-08-26 00:00:00,,,,Peculato,X
11316,11314,CPM,304,2009-08-26 00:00:00,,,,Peculato mediante aproveitamento ou erro de outrem,X
11317,11314,CPM,"303,§2º",2009-08-26 00:00:00,,,,Peculato-furto,X
11074,11068,,,2009-08-26 00:00:00,,,,Crimes contra a Autoridade ou Disciplina Militar,X
11268,11074,,,2009-08-26 00:00:00,,,,Aliciação e incitamento,X
11301,11268,CPM,154,2009-08-26 00:00:00,,,,Aliciação para motim ou revolta,X
11302,11268,CPM,156,2009-08-26 00:00:00,,,,Apologia de fato criminoso ou do seu autor,X
11303,11268,CPM,155,2009-08-26 00:00:00,,,,Incitamento,X
11267,11074,,,2009-08-26 00:00:00,,,,Desrespeito a superior e a símbolo nacional ou farda,X
11304,11267,CPM,"162, caput e parágrafo único",2009-08-26 00:00:00,,,,Despojamento desprezível,X
11305,11267,CPM,"160, parágrafo único",2009-08-26 00:00:00,,,,"Desrespeito a comandante, oficial-general ou oficial de serviço",X
11306,11267,CPM,161,2009-08-26 00:00:00,,,,Desrespeito a símbolo nacional,X
11307,11267,CPM,160,2009-08-26 00:00:00,,,,Desrespeito a superior ,X
11269,11074,,,2009-08-26 00:00:00,,,,"Fuga, evasão, arrebatamento e amotinamento de presos",X
11297,11269,CPM,182,2009-08-26 00:00:00,,,,Amotinamento,X
11298,11269,CPM,181,2009-08-26 00:00:00,,,,Arrebatamento de preso ou internado,X
11299,11269,CPM,180,2009-08-26 00:00:00,,,,Evasão de preso ou internado,X
11300,11269,CPM,"178, caput e parágrafos",2009-08-26 00:00:00,,,,Fuga de preso ou internado,X
11270,11074,,,2009-08-26 00:00:00,,,,Insubordinação,X
11293,11270,CPM,164,2009-08-26 00:00:00,,,,Oposição a ordem de sentinela,X
11294,11270,CPM,166,2009-08-26 00:00:00,,,,Publicação ou crítica indevida,X
11295,11270,CPM,163,2009-08-26 00:00:00,,,,Recusa a obediência,X
11296,11270,CPM,165,2009-08-26 00:00:00,,,,Reunião ilícita,X
11271,11074,,,2009-08-26 00:00:00,,,,Motim e Revolta,X
11288,11271,CPM,152,2009-08-26 00:00:00,,,,Conspiração,X
11289,11271,CPM,149,2009-08-26 00:00:00,,,,Motim,X
11290,11271,CPM,151,2009-08-26 00:00:00,,,,Omissão de lealdade militar,X
11291,11271,CPM,150,2009-08-26 00:00:00,,,,Organização de grupo para prática de violência,X
11292,11271,CPM,"149, parágrafo único",2009-08-26 00:00:00,,,,Revolta,X
11272,11074,,,2009-08-26 00:00:00,,,,Resistência,X
11287,11272,CPM,177,2009-08-26 00:00:00,,,,Resistência mediante ameaça ou violência,X
11273,11074,,,2009-08-26 00:00:00,,,,Usurpação e excesso ou abuso de autoridade,X
11277,11273,CPM,173,2009-08-26 00:00:00,,,,Abuso de requisição militar,X
11278,11273,CPM,167,2009-08-26 00:00:00,,,,Assunção de comando sem ordem ou autorização,X
11279,11273,CPM,168,2009-08-26 00:00:00,,,,Conservação ilegal de comando,X
11280,11273,CPM,"176, caput e parágrafo único",2009-08-26 00:00:00,,,,Ofensa aviltante a inferior,X
11281,11273,CPM,"169, caput e parágrafo único",2009-08-26 00:00:00,,,,Operação militar sem ordem superior,X
11282,11273,CPM,170,2009-08-26 00:00:00,,,,Ordem arbitrária de invasão,X
11283,11273,CPM,174,2009-08-26 00:00:00,,,,Rigor excessivo,X
11284,11273,CPM,172,2009-08-26 00:00:00,,,,"Uso indevido de uniforme, distintivo ou insígnia militar por qualquer pessoa",X
11285,11273,CPM,171,2009-08-26 00:00:00,,,,"Uso indevido por militar de uniforme, distintivo ou insígnia",X
11286,11273,CPM,175,2009-08-26 00:00:00,,,,Violência contra inferior,X
11274,11074,,,2009-08-26 00:00:00,,,,Violência contra superior ou militar de serviço,X
11275,11274,CPM,158,2009-08-26 00:00:00,,,,Violência contra militar de serviço,X
11276,11274,CPM,Art. 157,2009-08-26 00:00:00,,,,Violência contra superior,X
11075,11068,,,2009-08-26 00:00:00,,,,Crimes contra a Pessoa,X
11223,11075,,,2009-08-26 00:00:00,,,,Crimes contra a Honra,X
11262,11223,CPM,214,2009-08-26 00:00:00,,,,Calúnia,X
11263,11223,CPM,215,2009-08-26 00:00:00,,,,Difamação,X
11264,11223,CPM,216,2009-08-26 00:00:00,,,,Injúria,X
11265,11223,CPM,217,2009-08-26 00:00:00,,,,Injuria real,X
11266,11223,CPM,219,2009-08-26 00:00:00,,,,Ofensa às forças armadas,X
11224,11075,,,2009-08-26 00:00:00,,,,Crimes contra a Liberdade,X
11253,11224,CPM,223,2009-08-26 00:00:00,,,,Ameaça,X
11254,11224,CPM,222,2009-08-26 00:00:00,2023-09-28 13:24:53,,,Constrangimento ilegal,X
11255,11224,CPM,224,2009-08-26 00:00:00,,,,Desafio para duelo,X
11256,11224,CPM,228,2009-08-26 00:00:00,,,,Divulgação de segredo,X
11257,11224,CPM,225,2009-08-26 00:00:00,,,,Sequestro ou cárcere privado,X
11258,11224,CPM,227,2009-08-26 00:00:00,,,,Violação de correspondência,X
11259,11224,CPM,226,2009-08-26 00:00:00,,,,Violação de domicílio,X
11260,11224,CPM,229,2009-08-26 00:00:00,,,,Violação de recato,X
11261,11224,CPM,230,2009-08-26 00:00:00,,,,Violação de segredo profissional,X
11225,11075,,,2009-08-26 00:00:00,,,,Crimes Sexuais,X
11249,11225,CPM,233,2009-08-26 00:00:00,,,,Atentado violento ao pudor,X
11252,11225,CPM,235,2009-08-26 00:00:00,2018-10-11 16:21:28,,,Ato Libidinoso,X
11250,11225,CPM,234,2009-08-26 00:00:00,,,,Corrupção de menores,X
11251,11225,CPM,232,2009-08-26 00:00:00,,,,Estupro,X
11226,11075,,,2009-08-26 00:00:00,,,,Genocídio,X
11248,11226,CPM,208,2009-08-26 00:00:00,,,,Genocídio,X
11227,11075,,,2009-08-26 00:00:00,,,,Homicídio,X
11243,11227,CPM,205,2009-08-26 00:00:00,,,,Homicídio,X
11245,11227,CPM,"205, § 1º",2009-08-26 00:00:00,2023-02-28 17:13:28,,,Homicídio Privilegiado,X
11244,11227,CPM,"205,§ 2º",2009-08-26 00:00:00,,,,Homicidio qualificado,X
11246,11227,CPM,207,2009-08-26 00:00:00,,,,Provocação direta ou auxílio a suicídio,X
11247,11227,CPM,"207,§ 2º",2009-08-26 00:00:00,,,,Provocação indireta ao suicídio,X
11228,11075,,,2009-08-26 00:00:00,,,,Lesão Corporal e Rixa,X
15428,11228,Código Penal Militar,210,2024-10-15 13:35:06,,,,Lesão Corporal Culposa,X
11237,11228,CPM,"209, § 1º",2009-08-26 00:00:00,,,,Lesão grave,X
11238,11228,CPM,209,2009-08-26 00:00:00,,,,Lesão leve,X
11239,11228,CPM,"209,§ 6º",2009-08-26 00:00:00,,,,Lesão levíssima,X
11240,11228,CPM,"209,§ 4º",2009-08-26 00:00:00,,,,Lesão privilegiada,X
11241,11228,CPM,"209,§ 3º",2009-08-26 00:00:00,,,,Lesão seguida de morte,X
11242,11228,CPM,211,2009-08-26 00:00:00,,,,Participação em rixa,X
11229,11075,,,2009-08-26 00:00:00,,,,Periclitação da Vida ou da Saúde,X
11233,11229,CPM,212,2009-08-26 00:00:00,,,,Abandono de pessoa,X
11234,11229,CPM,"212, §§1º,2º",2009-08-26 00:00:00,,,,Abandono de pessoa seguida de morte ou lesão grave,X
11235,11229,CPM,213,2009-08-26 00:00:00,,,,Maus tratos,X
11236,11229,CPM,"213, §§ 1º e 2º",2009-08-26 00:00:00,,,,Maus tratos seguido de morte ou lesão grave,X
11230,11075,,,2009-08-26 00:00:00,,,,Ultraje Público ao Pudor,X
11231,11230,CPM,238,2009-08-26 00:00:00,,,,Ato obsceno,X
11232,11230,CPM,239,2009-08-26 00:00:00,,,,Escrito ou objeto obsceno,X
11076,11068,,,2009-08-26 00:00:00,,,,Crimes contra a Segurança Externa do País,X
11208,11076,CPM,138,2009-08-26 00:00:00,,,,Atos de jurisdição indevida,X
11209,11076,CPM,143,2009-08-26 00:00:00,,,,"Consecução de notícia, informação ou documento para fim de espionagem",X
11210,11076,CPM,147,2009-08-26 00:00:00,,,,Desenho ou levantamento de plano ou planta de local militar,X
11211,11076,CPM,140,2009-08-26 00:00:00,,,,Entendimento para empenhar o Brasil à neutralidade ou à guerra,X
11212,11076,CPM,144,2009-08-26 00:00:00,,,,Entendimento para gerar conflito ou divergência com o Brasil,X
11213,11076,CPM,"136 ""caput""",2009-08-26 00:00:00,,,,Hostilidade contra país estrangeiro,X
11214,11076,CPM,"136, § 1º",2009-08-26 00:00:00,,,,Hostilidade qualificada pelo resultado,X
11215,11076,CPM,146,2009-08-26 00:00:00,,,,Penetração com o fim de espionagem,X
11216,11076,CPM,137,2009-08-26 00:00:00,,,,Provocação a país estrangeiro,X
11217,11076,CPM,144,2009-08-26 00:00:00,,,,"Revelação de notícia, informação ou documento",X
11218,11076,CPM,144,2009-08-26 00:00:00,,,,"Revelação de notícia, informação ou documento, com o fim de espionagem militar",X
11219,11076,CPM,148,2009-08-26 00:00:00,,,,Sobrevôo em local interdito,X
11220,11076,CPM,142,2009-08-26 00:00:00,,,,Tentativa contra a soberania do Brasil,X
11221,11076,CPM,145,2009-08-26 00:00:00,,,,Turbação de objeto ou documento,X
11222,11076,CPM,139,2009-08-26 00:00:00,,,,Violação de território estrangeiro,X
11077,11068,,,2009-08-26 00:00:00,,,,Crimes contra Incolumidade Pública,X
11178,11077,,,2009-08-26 00:00:00,,,,Contra a Saúde,X
11200,11178,CPM,294,2009-08-26 00:00:00,,,,Corrupção ou poluição de água potável,X
11201,11178,CPM,293,2009-08-26 00:00:00,,,,Envenenamento com perigo extensivo,X
11202,11178,CPM,292,2009-08-26 00:00:00,,,,Epidemia,X
11203,11178,CPM,296,2009-08-26 00:00:00,,,,Fornecimento de substância alterada,X
11204,11178,CPM,295,2009-08-26 00:00:00,,,,Fornecimento de substancia nociva,X
11205,11178,CPM,297,2009-08-26 00:00:00,,,,Omissão de notificação de doença,X
11206,11178,CPM,291,2009-08-26 00:00:00,,,,Receita Ilegal,X
11207,11178,CPM,290,2009-08-26 00:00:00,,,,"Tráfico, posse ou uso de entorpecente ou substância de efeito similar",X
11179,11077,,,2009-08-26 00:00:00,,,,Crimes contra os Meios de Transporte e de Comunicação,X
11194,11179,CPM,286,2009-08-26 00:00:00,,,,Arremesso de projétil,X
11195,11179,CPM,287,2009-08-26 00:00:00,,,,Atentado contra serviço de utilidade militar,X
11196,11179,CPM,283,2009-08-26 00:00:00,,,,Atentado contra transporte,X
11197,11179,CPM,284 e 285,2009-08-26 00:00:00,,,,Atentado contra viatura ou outro meio de transporte,X
11198,11179,CPM,288 e 289,2009-08-26 00:00:00,,,,Interrupção ou perturbação de serviço ou meio de comunicação,X
11199,11179,CPM,282,2009-08-26 00:00:00,,,,Perigo de desastre ferroviário,X
11180,11077,,,2009-08-26 00:00:00,,,,Crimes de Perigo Comum,X
11181,11180,CPM,271,2009-08-26 00:00:00,,,,Abuso de radiação,X
11182,11180,CPM,274,2009-08-26 00:00:00,,,,Desabamento ou desmoronamento,X
11183,11180,CPM,278,2009-08-26 00:00:00,,,,Difusão de epizootia ou praga vegetal,X
11184,11180,CPM,279,2009-08-26 00:00:00,,,,Embriaguez ao volante,X
11185,11180,CPM,270,2009-08-26 00:00:00,,,,Emprego de gás tóxico ou asfixiante,X
11186,11180,CPM,269,2009-08-26 00:00:00,,,,Explosão,X
11187,11180,CPM,276,2009-08-26 00:00:00,,,,Fatos que expõem a perigo aparelhamento militar,X
11188,11180,CPM,Art. 281,2009-08-26 00:00:00,,,,Fuga após acidente de trânsito,X
11189,11180,CPM,268,2009-08-26 00:00:00,,,,Incêndio,X
11190,11180,CPM,272,2009-08-26 00:00:00,,,,Inundação,X
11191,11180,CPM,273,2009-08-26 00:00:00,,,,Perigo de inundação,X
11192,11180,CPM,280,2009-08-26 00:00:00,,,,Perigo resultante de violação de regra de trânsito,X
11193,11180,CPM,275,2009-08-26 00:00:00,,,,"Subtração, ocultação ou inutilização de material de socorro",X
11078,11068,,,2009-08-26 00:00:00,,,,Crimes contra o Patrimônio,X
11144,11078,,,2009-08-26 00:00:00,,,,Apropriação Indébita,X
11175,11144,CPM,"249, parágrafo único",2009-08-26 00:00:00,,,,Apropriação de coisa achada,X
11176,11144,CPM,249,2009-08-26 00:00:00,,,,Apropriação de coisa havida acidentalmente,X
11177,11144,CPM,248,2009-08-26 00:00:00,,,,Apropriação indébita,X
11145,11078,,,2009-08-26 00:00:00,,,,Dano,X
11168,11145,CPM,260,2009-08-26 00:00:00,,,,Dano atenuado,X
11169,11145,CPM,264,2009-08-26 00:00:00,,,,Dano em aparelhos e instalações ,X
11170,11145,CPM,263,2009-08-26 00:00:00,,,,Dano em navio de guerra ou mercante em serviço militar,X
